Artist Name(s),Need to Explore,Looked At,Artist Playlist,One of Each,Notes
Thrice,TRUE,FALSE,TRUE,The Weight,Still have a few albums to get through to catgegorize
Rise Against,FALSE,TRUE,TRUE,Survive,
Linkin Park,FALSE,TRUE,TRUE,Breaking the Habit,"Probably shouild check out some of the new stuff, eps and reanimation"
Eminem,FALSE,TRUE,TRUE,Rock Bottom,
Brand New,FALSE,TRUE,TRUE,I will Play my Game Beneath the Spin Light,
Kanye West,FALSE,FALSE,FALSE,,
System Of A Down,FALSE,TRUE,TRUE,Deer Dance,Need to listen to first album more
Say Anything,FALSE,FALSE,FALSE,,
AJJ,FALSE,FALSE,FALSE,,
Flobots,FALSE,TRUE,TRUE,Jetpack,
mewithoutYou,FALSE,FALSE,FALSE,,
Against Me!,FALSE,TRUE,TRUE,In Search for a former clarity,
Gogol Bordello,TRUE,TRUE,FALSE,Avenue B,Listened to my 3 favorite albums
Ludo,FALSE,TRUE,TRUE,Hello My Name Is Your TV,
Lupe Fiasco,FALSE,TRUE,TRUE,Put you on Game,
The Offspring,FALSE,TRUE,TRUE,The Kids are Alright,"Didn't listen to singles or compliation album, but think I got most of the good stuff"
Amigo the Devil,FALSE,TRUE,TRUE,Cocaine and Abel,
CAKE,FALSE,FALSE,FALSE,,
AFI,TRUE,TRUE,FALSE,This Time Imperfect,"Haven't really checked out anytiniug past december underground, should listen sometimes"
Fall Out Boy,FALSE,FALSE,FALSE,,
My Chemical Romance,FALSE,TRUE,TRUE,My Chemical Romance,
The Faint,FALSE,FALSE,FALSE,,
Kendrick Lamar,FALSE,TRUE,TRUE,The Heart Part 5,
Limp Bizkit,FALSE,FALSE,FALSE,,
Childish Gambino,FALSE,TRUE,FALSE,Be Alone,
Green Day,FALSE,FALSE,FALSE,,
Nas,TRUE,TRUE,TRUE,I Can,
50 Cent,FALSE,TRUE,TRUE,In Da Club,
Cake Bake Betty,FALSE,TRUE,FALSE,The Spine Song,
The Decemberists,FALSE,FALSE,FALSE,,
Bo Burnham,FALSE,FALSE,FALSE,,
D12,FALSE,FALSE,FALSE,,
La Dispute,TRUE,TRUE,FALSE,King Park,Need to listen to Panorma and Tiny Dots
Muse,FALSE,FALSE,FALSE,,
The White Stripes,FALSE,FALSE,FALSE,,
Beastie Boys,FALSE,FALSE,FALSE,,
Lil Yachty,FALSE,FALSE,FALSE,,
T.I.,FALSE,FALSE,FALSE,,
Weezer,FALSE,FALSE,FALSE,,
Aerosmith,FALSE,FALSE,FALSE,,
Andrew Bird,FALSE,FALSE,FALSE,,
Bright Eyes,FALSE,FALSE,FALSE,,
Immortal Technique,FALSE,TRUE,TRUE,Caught in the Hustle / Leaving the Past,
July Talk,FALSE,TRUE,FALSE,The Garden,
"Tyler, The Creator",FALSE,FALSE,FALSE,,
alt-J,FALSE,FALSE,FALSE,,
Flatbush Zombies,FALSE,FALSE,FALSE,,
Johnny Cash,FALSE,FALSE,FALSE,,
Lera Lynn,FALSE,FALSE,FALSE,,
Radiohead,FALSE,FALSE,FALSE,,
The National,FALSE,FALSE,FALSE,,
The Protomen,FALSE,FALSE,FALSE,,
Twenty One Pilots,FALSE,FALSE,FALSE,,
