Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
Atavista,Childish Gambino,Atavista,Everything,Playlist,USRC12401523,362541829
Algorhythm,Childish Gambino,Atavista,Everything,Playlist,USRC12401527,362541830
To Be Hunted,Childish Gambino,Atavista,Everything,Playlist,USRC12401524,362541833
Sweet Thang (feat. Summer Walker),Childish Gambino,Atavista,Everything,Playlist,USRC12401530,362541834
Little Foot Big Foot (feat. Young Nudy),Childish Gambino,Atavista,Everything,Playlist,USRC12302587,362541835
Human Sacrifice,Childish Gambino,Atavista,Everything,Playlist,USRC12401532,362541837
Final Church,Childish Gambino,Atavista,Everything,Playlist,USRC12401534,362541839
Summertime Magic,Childish Gambino,Summer Pack,Everything,Playlist,USRC11802726,91829558
Feels Like Summer,Childish Gambino,Summer Pack,Everything,Playlist,USRC11802773,91829559
This Is America,Childish Gambino,This Is America,Everything,Playlist,USRC11801773,88432759
MOOD 4 EVA (feat. Oumou Sangaré) (Extended Version),Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré) (Extended Version),Everything,Playlist,USSM11904709,113655761
Agatha,Ni'jah,Swarm,Everything,Playlist,USRC12300741,281892693
Hanging by the Roots,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343978,318928669
It’s All Gone,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343979,318928670
I’m Going to Heaven,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343980,318928671
The Mechanic,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343981,318928672
Once Upon a Time at Texaco pt. 1,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343982,318928673
Cannibal Within,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343985,318928676
Virtue and Vitriol,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343987,318928678
Closer,Amigo the Devil,Yours Until the War is Over,Everything,Playlist,USA2P2343990,318928681
The Heart Part 5,Kendrick Lamar,The Heart Part 5,Everything,Playlist,USUM72208318,227993072
euphoria,Kendrick Lamar,euphoria,Everything,Playlist,USUG12402839,360485344
Not Like Us,Kendrick Lamar,Not Like Us,Everything,Playlist,USUG12400910,361394619
meet the grahams,Kendrick Lamar,meet the grahams,Everything,Playlist,USUG12400909,361394607
SKINNY,Billie Eilish,HIT ME HARD AND SOFT,Everything,Playlist,USUM72401995,363236463
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,Everything,Playlist,USUM72401991,363236464
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,Everything,Playlist,USUM72401988,363236465
BLUE,Billie Eilish,HIT ME HARD AND SOFT,Everything,Playlist,USUM72401996,363236472
Jumpsuit,twenty one pilots,Trench,Everything,Playlist,USAT21804143,96146859
Levitate,twenty one pilots,Trench,Everything,Playlist,USAT21810696,96146860
Morph,twenty one pilots,Trench,Everything,Playlist,USAT21810697,96146863
Chlorine,twenty one pilots,Trench,Everything,Playlist,USAT21810699,96146865
My Blood,twenty one pilots,Trench,Everything,Playlist,USAT21810698,96146864
Neon Gravestones,twenty one pilots,Trench,Everything,Playlist,USAT21810701,96146867
Nico and the Niners,twenty one pilots,Trench,Everything,Playlist,USAT21804145,96146869
Bandito,twenty one pilots,Trench,Everything,Playlist,USAT21810704,96146871
Pet Cheetah,twenty one pilots,Trench,Everything,Playlist,USAT21810705,96146872
Leave the City,twenty one pilots,Trench,Everything,Playlist,USAT21810707,96146876
Get It Sexyy,Sexyy Red,Get It Sexyy,Everything,Playlist,QZSYP2454435,351092316
Like That,Future,WE DON'T TRUST YOU,Everything,Playlist,USSM12402041,352641780
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,Everything,Playlist,QM24S2402528,366725550
Yeah Glo!,GloRilla,Yeah Glo!,Everything,Playlist,USUM72400409,343310600
Pedro,Jaxomy,Pedro,Everything,Playlist,DEE862400427,352173564
MONTERO (Call Me By Your Name),Yes Yes,MONTERO (Call Me By Your Name),Everything,Playlist,NLT2H2100728,196088426
Ain't No Sunshine,Agatino Romero,Ain't No Sunshine,Everything,Playlist,FR2X41747598,72379420
TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,Everything,Playlist,USSM12401302,344957698
Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,Everything,Playlist,QM6MZ2214878,227614741
Wanna Be,GloRilla,Ehhthang Ehhthang,Everything,Playlist,USUM72403374,355065975
GET A LIL BAG,Tobe Nwigwe,moMINTs,Everything,Playlist,QZNMU2263385,341434436
I: Hope Rides Alone,The Protomen,The Protomen,Everything,Playlist,USHM20676879,260672134
II A: Funeral for a Son,The Protomen,The Protomen,Everything,Playlist,USHM20676880,260672135
II B: Unrest in the House of Light,The Protomen,The Protomen,Everything,Playlist,USHM20676881,260672136
III: The Will of One,The Protomen,The Protomen,Everything,Playlist,USHM20676882,260672137
IV: Vengeance,The Protomen,The Protomen,Everything,Playlist,USHM20676883,260672138
V: The Stand (Man or Machine),The Protomen,The Protomen,Everything,Playlist,USHM20676884,260672139
VI: Sons of Fate,The Protomen,The Protomen,Everything,Playlist,USHM20676885,260672140
Epilogue: Due Vendetta,The Protomen,The Protomen,Everything,Playlist,USHM20676886,260672141
St. James Infirmary,The Bridge City Sinners,Bridge City Sinners,Everything,Playlist,USHM21799516,77499334
Dungeon Song,The Bridge City Sinners,Bridge City Sinners,Everything,Playlist,USHM21799522,77499340
Satan's Song,The Bridge City Sinners,Bridge City Sinners,Everything,Playlist,USHM21799523,77499341
Hey Ya!,Outkast,Speakerboxxx/The Love Below,Everything,Playlist,USAR10300924,1772295
Wannabe,Spice Girls,Wannabe,Everything,Playlist,GBAAA9600008,1117587
"Lady Marmalade (From ""Moulin Rouge"" Soundtrack)",Christina Aguilera,Moulin Rouge,Everything,Playlist,USIR10110334,35972940
Don't Speak,No Doubt,Tragic Kingdom,Everything,Playlist,USIR19500279,35971918
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),Everything,Playlist,USUM70918596,124206513
Don't Stop Believin',Journey,The Essential Journey,Everything,Playlist,USSM18100116,1781737
Bohemian Rhapsody,Queen,A Night at the Opera,Everything,Playlist,GBUM71029604,77814875
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,Document (R.E.M. No. 5),Everything,Playlist,USIR38700037,628461
It's Raining Men,The Weather Girls,Success,Everything,Playlist,USSM18200382,4710246
No Scrubs,TLC,Fanmail,Everything,Playlist,USLF29900479,674625
Whatta Man,Salt-N-Pepa,Very Necessary,Everything,Playlist,USIR20300399,169910577
September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",Everything,Playlist,USSM17800845,106028079
I Want It That Way,Backstreet Boys,Millennium,Everything,Playlist,USJI19910614,4942590
Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,Everything,Playlist,USJI10000100,2931958
"Honey, This Mirror Isn't Big Enough for the Two of Us",My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Everything,Playlist,US5660602202,65181175
Vampires Will Never Hurt You,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Everything,Playlist,US5660602203,65181176
Demolition Lovers,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Everything,Playlist,US5660602211,65181184
Early Sunsets Over Monroeville,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Everything,Playlist,US5660602208,65181181
Cubicles,My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Everything,Playlist,US5660602210,65181183
Helena,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600521,68508919
"Give 'Em Hell, Kid",My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600522,68508920
To the End,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600523,68508921
You Know What They Do to Guys Like Us in Prison,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600524,68508922
I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600525,68508923
The Jetset Life Is Gonna Kill You,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600527,68508925
The Ghost of You,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600526,68508924
Thank You for the Venom,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600529,68508927
Hang 'Em High,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600530,68508928
"It's Not a Fashion Statement, It's a Deathwish",My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600531,68508929
Cemetery Drive,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600532,68508930
I Never Told You What I Do for a Living,My Chemical Romance,Three Cheers for Sweet Revenge,Everything,Playlist,USRE11600533,68508931
The Only Difference Between Martyrdom and Suicide Is Press Coverage,Panic! At The Disco,A Fever You Can't Sweat Out,Everything,Playlist,US56V0507702,307222
